Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[library strategy]	Parameter Value[library selection]	Parameter Value[library layout]	Protocol REF	Parameter Value[sequencing instrument]	Assay Name	Raw Data File
Mmus_BAL-TAL_LVR_BSL_Rep1_B1	nucleic acid extraction	RR3_BSL_B1_LVR_DNA	sequencing library construction	Bisulfite-Seq	RANDOM-PCR	SINGLE	nucleic acid sequencing	Illumina HiSeq 4000	WGBS	GLDS-137_wgbs_RR3-BSL-B1-LVR-wgbs.tar
Mmus_BAL-TAL_LVR_BSL_Rep2_B2	nucleic acid extraction	RR3_BSL_B2_LVR_DNA	sequencing library construction	Bisulfite-Seq	RANDOM-PCR	SINGLE	nucleic acid sequencing	Illumina HiSeq 4000	WGBS	GLDS-137_wgbs_RR3-BSL-B2-LVR-wgbs.tar
Mmus_BAL-TAL_LVR_BSL_Rep3_B3	nucleic acid extraction	RR3_BSL_B3_LVR_DNA	sequencing library construction	Bisulfite-Seq	RANDOM-PCR	SINGLE	nucleic acid sequencing	Illumina HiSeq 4000	WGBS	GLDS-137_wgbs_RR3-BSL-B3-LVR-wgbs.tar
Mmus_BAL-TAL_LVR_BSL_Rep4_B4	nucleic acid extraction	RR3_BSL_B4_LVR_DNA	sequencing library construction	Bisulfite-Seq	RANDOM-PCR	SINGLE	nucleic acid sequencing	Illumina HiSeq 4000	WGBS	GLDS-137_wgbs_RR3-BSL-B4-LVR-wgbs.tar
Mmus_BAL-TAL_LVR_BSL_Rep5_B6	nucleic acid extraction	RR3_BSL_B6_LVR_DNA	sequencing library construction	Bisulfite-Seq	RANDOM-PCR	SINGLE	nucleic acid sequencing	Illumina HiSeq 4000	WGBS	GLDS-137_wgbs_RR3-BSL-B6-LVR-wgbs.tar
Mmus_BAL-TAL_LVR_BSL_Rep6_B7	nucleic acid extraction	RR3_BSL_B7_LVR_DNA	sequencing library construction	Bisulfite-Seq	RANDOM-PCR	SINGLE	nucleic acid sequencing	Illumina HiSeq 4000	WGBS	GLDS-137_wgbs_RR3-BSL-B7-LVR-wgbs.tar
Mmus_BAL-TAL_LVR_FLT_Rep1_F1	nucleic acid extraction	RR3_FLT_F1_LVR_DNA	sequencing library construction	Bisulfite-Seq	RANDOM-PCR	SINGLE	nucleic acid sequencing	Illumina HiSeq 4000	WGBS	GLDS-137_wgbs_RR3-FLT-F1-LVR-wgbs.tar
Mmus_BAL-TAL_LVR_FLT_Rep2_F2	nucleic acid extraction	RR3_FLT_F2_LVR_DNA	sequencing library construction	Bisulfite-Seq	RANDOM-PCR	SINGLE	nucleic acid sequencing	Illumina HiSeq 4000	WGBS	GLDS-137_wgbs_RR3-FLT-F2-LVR-wgbs.tar
Mmus_BAL-TAL_LVR_FLT_Rep3_F3	nucleic acid extraction	RR3_FLT_F3_LVR_DNA	sequencing library construction	Bisulfite-Seq	RANDOM-PCR	SINGLE	nucleic acid sequencing	Illumina HiSeq 4000	WGBS	GLDS-137_wgbs_RR3-FLT-F3-LVR-wgbs.tar
Mmus_BAL-TAL_LVR_FLT_Rep4_F4	nucleic acid extraction	RR3_FLT_F4_LVR_DNA	sequencing library construction	Bisulfite-Seq	RANDOM-PCR	SINGLE	nucleic acid sequencing	Illumina HiSeq 4000	WGBS	GLDS-137_wgbs_RR3-FLT-F4-LVR-wgbs.tar
