Sample Name	Protocol REF	Parameter Value[Preservation]	Parameter Value[Section Thickness]	Unit	Term Source REF	Term Accession Number	Parameter Value[Fixation Chemical]	Assay Name	Raw Data File	Parameter Value[Submitted Results File]	Protocol REF	Parameter Value[Transformed Reusable Files]
Mmus_BAL-TAL_LVR_BSL_Rep1_B1	Labeling Protocol	liquid nitrogen	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	paraffin (HE), OCT (ORO)	Histology	Not Available	LSDS-28_Histology_OSD_137_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-28_Histology_OSD_137_Histology_TRANSFORMED.csv
Mmus_BAL-TAL_LVR_BSL_Rep2_B2	Labeling Protocol	liquid nitrogen	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	paraffin (HE), OCT (ORO)	Histology	Not Available	LSDS-28_Histology_OSD_137_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-28_Histology_OSD_137_Histology_TRANSFORMED.csv
Mmus_BAL-TAL_LVR_BSL_Rep3_B3	Labeling Protocol	liquid nitrogen	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	paraffin (HE), OCT (ORO)	Histology	Not Available	LSDS-28_Histology_OSD_137_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-28_Histology_OSD_137_Histology_TRANSFORMED.csv
Mmus_BAL-TAL_LVR_BSL_Rep4_B4	Labeling Protocol	liquid nitrogen	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	paraffin (HE), OCT (ORO)	Histology	Not Available	LSDS-28_Histology_OSD_137_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-28_Histology_OSD_137_Histology_TRANSFORMED.csv
Mmus_BAL-TAL_LVR_BSL_Rep5_B6	Labeling Protocol	liquid nitrogen	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	paraffin (HE), OCT (ORO)	Histology	Not Available	LSDS-28_Histology_OSD_137_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-28_Histology_OSD_137_Histology_TRANSFORMED.csv
Mmus_BAL-TAL_LVR_BSL_Rep6_B7	Labeling Protocol	liquid nitrogen	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	paraffin (HE), OCT (ORO)	Histology	Not Available	LSDS-28_Histology_OSD_137_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-28_Histology_OSD_137_Histology_TRANSFORMED.csv
Mmus_BAL-TAL_LVR_GC_Rep1_G1	Labeling Protocol	liquid nitrogen	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	paraffin (HE), OCT (ORO)	Histology	Not Available	LSDS-28_Histology_OSD_137_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-28_Histology_OSD_137_Histology_TRANSFORMED.csv
Mmus_BAL-TAL_LVR_GC_Rep2_G2	Labeling Protocol	liquid nitrogen	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	paraffin (HE), OCT (ORO)	Histology	Not Available	LSDS-28_Histology_OSD_137_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-28_Histology_OSD_137_Histology_TRANSFORMED.csv
Mmus_BAL-TAL_LVR_GC_Rep3_G3	Labeling Protocol	liquid nitrogen	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	paraffin (HE), OCT (ORO)	Histology	Not Available	LSDS-28_Histology_OSD_137_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-28_Histology_OSD_137_Histology_TRANSFORMED.csv
Mmus_BAL-TAL_LVR_GC_Rep4_G5	Labeling Protocol	liquid nitrogen	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	paraffin (HE), OCT (ORO)	Histology	Not Available	LSDS-28_Histology_OSD_137_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-28_Histology_OSD_137_Histology_TRANSFORMED.csv
