Sample Name	Comment[Core Facility Sample Name]	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Parameter Value[Pool strategy]	Term Source REF	Term Accession Number	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[instrument]	Term Source REF	Term Accession Number	Parameter Value[chromatography]	Parameter Value[ion source]	Term Source REF	Term Accession Number	Parameter Value[dissociation]	Parameter Value[analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Comment[Run Number]	Raw Spectral Data File	Comment[Raw Spectral Data File Name]	Comment[Raw files .mzML file format]	Protocol REF	Data Transformation Name	Comment[Processed Data File]	Comment[Peptide Spectrum Match File]	Peptide Assignment File	Protein Assignment File	Comment[Byonic Output File]
Mmus_BAL-TAL_LVR_BSL_Rep1_B1	B1	protein extraction	RR3_BSL_B1_LVR_PRT	TMT isobaric labeling	RR3_BSL_B1_LVR_PRT_TMT	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	129C	GLDS	https://genelab-data.ndc.nasa.gov/	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)	GLDS	https://genelab-data.ndc.nasa.gov/	Reverse Phase Liquid Chromatography	Electrospray Ionization	GLDS	https://genelab-data.ndc.nasa.gov/	CID/HCD	Ion Trap & Orbitrap	GLDS	https://genelab-data.ndc.nasa.gov/	MS3 isobaric ten plex analysis	1	GLDS-137_proteomics_RR3_Liver_raw.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.raw	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-137_proteomics_RR3_Liver_processed.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideSpectrumMatch.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideGroup.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetProtein.txt	170322_SHLai....byspec2_20170326_Byonic.mzid
Mmus_BAL-TAL_LVR_BSL_Rep2_B2	B2	protein extraction	RR3_BSL_B2_LVR_PRT	TMT isobaric labeling	RR3_BSL_B2_LVR_PRT_TMT	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	130N	GLDS	https://genelab-data.ndc.nasa.gov/	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)	GLDS	https://genelab-data.ndc.nasa.gov/	Reverse Phase Liquid Chromatography	Electrospray Ionization	GLDS	https://genelab-data.ndc.nasa.gov/	CID/HCD	Ion Trap & Orbitrap	GLDS	https://genelab-data.ndc.nasa.gov/	MS3 isobaric ten plex analysis	1	GLDS-137_proteomics_RR3_Liver_raw.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.raw	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-137_proteomics_RR3_Liver_processed.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideSpectrumMatch.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideGroup.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetProtein.txt	170322_SHLai....byspec2_20170326_Byonic.mzid
Mmus_BAL-TAL_LVR_BSL_Rep3_B3	B3	protein extraction	RR3_BSL_B3_LVR_PRT	TMT isobaric labeling	RR3_BSL_B3_LVR_PRT_TMT	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	130C	GLDS	https://genelab-data.ndc.nasa.gov/	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)	GLDS	https://genelab-data.ndc.nasa.gov/	Reverse Phase Liquid Chromatography	Electrospray Ionization	GLDS	https://genelab-data.ndc.nasa.gov/	CID/HCD	Ion Trap & Orbitrap	GLDS	https://genelab-data.ndc.nasa.gov/	MS3 isobaric ten plex analysis	1	GLDS-137_proteomics_RR3_Liver_raw.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.raw	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-137_proteomics_RR3_Liver_processed.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideSpectrumMatch.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideGroup.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetProtein.txt	170322_SHLai....byspec2_20170326_Byonic.mzid
Mmus_BAL-TAL_LVR_GC_Rep1_G1	G1	protein extraction	RR3_GC_G1_LVR_PRT	TMT isobaric labeling	RR3_GC_G1_LVR_PRT_TMT	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	126	GLDS	https://genelab-data.ndc.nasa.gov/	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)	GLDS	https://genelab-data.ndc.nasa.gov/	Reverse Phase Liquid Chromatography	Electrospray Ionization	GLDS	https://genelab-data.ndc.nasa.gov/	CID/HCD	Ion Trap & Orbitrap	GLDS	https://genelab-data.ndc.nasa.gov/	MS3 isobaric ten plex analysis	1	GLDS-137_proteomics_RR3_Liver_raw.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.raw	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-137_proteomics_RR3_Liver_processed.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideSpectrumMatch.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideGroup.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetProtein.txt	170322_SHLai....byspec2_20170326_Byonic.mzid
Mmus_BAL-TAL_LVR_GC_Rep2_G2	G2	protein extraction	RR3_GC_G2_LVR_PRT	TMT isobaric labeling	RR3_GC_G2_LVR_PRT_TMT	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	127N	GLDS	https://genelab-data.ndc.nasa.gov/	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)	GLDS	https://genelab-data.ndc.nasa.gov/	Reverse Phase Liquid Chromatography	Electrospray Ionization	GLDS	https://genelab-data.ndc.nasa.gov/	CID/HCD	Ion Trap & Orbitrap	GLDS	https://genelab-data.ndc.nasa.gov/	MS3 isobaric ten plex analysis	1	GLDS-137_proteomics_RR3_Liver_raw.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.raw	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-137_proteomics_RR3_Liver_processed.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideSpectrumMatch.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideGroup.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetProtein.txt	170322_SHLai....byspec2_20170326_Byonic.mzid
Mmus_BAL-TAL_LVR_GC_Rep3_G3	G3	protein extraction	RR3_GC_G3_LVR_PRT	TMT isobaric labeling	RR3_GC_G3_LVR_PRT_TMT	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	127C	GLDS	https://genelab-data.ndc.nasa.gov/	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)	GLDS	https://genelab-data.ndc.nasa.gov/	Reverse Phase Liquid Chromatography	Electrospray Ionization	GLDS	https://genelab-data.ndc.nasa.gov/	CID/HCD	Ion Trap & Orbitrap	GLDS	https://genelab-data.ndc.nasa.gov/	MS3 isobaric ten plex analysis	1	GLDS-137_proteomics_RR3_Liver_raw.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.raw	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-137_proteomics_RR3_Liver_processed.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideSpectrumMatch.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideGroup.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetProtein.txt	170322_SHLai....byspec2_20170326_Byonic.mzid
Mmus_BAL-TAL_LVR_FLT_Rep1_F1	F1	protein extraction	RR3_FLT_F1_LVR_PRT	TMT isobaric labeling	RR3_FLT_F1_LVR_PRT_TMT	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	128N	GLDS	https://genelab-data.ndc.nasa.gov/	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)	GLDS	https://genelab-data.ndc.nasa.gov/	Reverse Phase Liquid Chromatography	Electrospray Ionization	GLDS	https://genelab-data.ndc.nasa.gov/	CID/HCD	Ion Trap & Orbitrap	GLDS	https://genelab-data.ndc.nasa.gov/	MS3 isobaric ten plex analysis	1	GLDS-137_proteomics_RR3_Liver_raw.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.raw	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-137_proteomics_RR3_Liver_processed.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideSpectrumMatch.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideGroup.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetProtein.txt	170322_SHLai....byspec2_20170326_Byonic.mzid
Mmus_BAL-TAL_LVR_FLT_Rep2_F2	F2	protein extraction	RR3_FLT_F2_LVR_PRT	TMT isobaric labeling	RR3_FLT_F2_LVR_PRT_TMT	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	128C	GLDS	https://genelab-data.ndc.nasa.gov/	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)	GLDS	https://genelab-data.ndc.nasa.gov/	Reverse Phase Liquid Chromatography	Electrospray Ionization	GLDS	https://genelab-data.ndc.nasa.gov/	CID/HCD	Ion Trap & Orbitrap	GLDS	https://genelab-data.ndc.nasa.gov/	MS3 isobaric ten plex analysis	1	GLDS-137_proteomics_RR3_Liver_raw.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.raw	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-137_proteomics_RR3_Liver_processed.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideSpectrumMatch.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideGroup.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetProtein.txt	170322_SHLai....byspec2_20170326_Byonic.mzid
Mmus_BAL-TAL_LVR_FLT_Rep3_F3	F3	protein extraction	RR3_FLT_F3_LVR_PRT	TMT isobaric labeling	RR3_FLT_F3_LVR_PRT_TMT	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	129N	GLDS	https://genelab-data.ndc.nasa.gov/	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)	GLDS	https://genelab-data.ndc.nasa.gov/	Reverse Phase Liquid Chromatography	Electrospray Ionization	GLDS	https://genelab-data.ndc.nasa.gov/	CID/HCD	Ion Trap & Orbitrap	GLDS	https://genelab-data.ndc.nasa.gov/	MS3 isobaric ten plex analysis	1	GLDS-137_proteomics_RR3_Liver_raw.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.raw	170322_SHLai_Chakravarty_NASA_6432_G1_B3_Frac_*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-137_proteomics_RR3_Liver_processed.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideSpectrumMatch.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetPeptideGroup.txt	170322_SHLai_Chakravarty_NASA_6432_G1_B3_TargetProtein.txt	170322_SHLai....byspec2_20170326_Byonic.mzid
Mmus_BAL-TAL_LVR_BSL_Rep4_B4	B4	protein extraction	RR3_BSL_B4_LVR_PRT	TMT isobaric labeling	RR3_BSL_B4_LVR_PRT_TMT	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	129C	GLDS	https://genelab-data.ndc.nasa.gov/	mass spectrometry	LTQ Orbitrap Fusion (Thermo Scientific)	GLDS	https://genelab-data.ndc.nasa.gov/	Reverse Phase Liquid Chromatography	Electrospray Ionization	GLDS	https://genelab-data.ndc.nasa.gov/	CID/HCD	Ion Trap & Orbitrap	GLDS	https://genelab-data.ndc.nasa.gov/	MS3 isobaric ten plex analysis	2	GLDS-137_proteomics_RR3_Liver_raw.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G5_B7_Frac_*.raw	170322_SHLai_Chakravarty_NASA_6432_G5_B7_Frac_*.mzML	data transformation	Proteome Discoverer/ Byonic	GLDS-137_proteomics_RR3_Liver_processed.tar.gz	170322_SHLai_Chakravarty_NASA_6432_G5_B7_TargetPeptideSpectrumMatch.txt	170322_SHLai_Chakravarty_NASA_6432_G5_B7_TargetPeptideGroup.txt	170322_SHLai_Chakravarty_NASA_6432_G5_B7_TargetProtein.txt	170322_SHLai....byspec2_20170326_Byonic.mzid
