Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[Sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Habitat]	Term Source REF	Term Accession Number	Parameter Value[treatment]	Term Source REF	Term Accession Number	Parameter Value[Duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[light cycle]	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Source Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[Initiation Date]	Comment[Completion Date]	Comment[Dissection date]	Parameter Value[Diet]	Term Source REF	Term Accession Number	Parameter Value[Feeding Schedule]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[Original Submitted Sample Name]	Comment[Sample Name Description]	Comment[ALSDA Biospecimen Source ID]	Comment[ALSDA Biospecimen Subject ID]	Comment[Source description]	Protocol REF	Parameter Value[ionizing radiation]	Term Source REF	Term Accession Number	Parameter Value[vehicle]	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number
RR3_BSL_B1	Mmus_BAL-TAL_LVR_BSL_Rep1_B1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Basal Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	Standard Vivarium Cage	GLDS	https://genelab-data.ndc.nasa.gov/	Non-treated	GLDS	https://genelab-data.ndc.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	ketamine/xylazine/acepromazine			20.7	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	8-Apr-16	9-Apr-16	13-Sep-16	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RR3_BSL_B1_LVR	Basal 1 liver 	5417	551	previously dissected carcass	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_BSL_B2	Mmus_BAL-TAL_LVR_BSL_Rep2_B2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Basal Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	Standard Vivarium Cage	GLDS	https://genelab-data.ndc.nasa.gov/	Non-treated	GLDS	https://genelab-data.ndc.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	ketamine/xylazine/acepromazine			18.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	8-Apr-16	9-Apr-16	13-Sep-16	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RR3_BSL_B2_LVR	Basal 2 liver 	5417	551	previously dissected carcass	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_BSL_B3	Mmus_BAL-TAL_LVR_BSL_Rep3_B3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Basal Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	Standard Vivarium Cage	GLDS	https://genelab-data.ndc.nasa.gov/	Non-treated	GLDS	https://genelab-data.ndc.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	ketamine/xylazine/acepromazine			18.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	8-Apr-16	9-Apr-16	13-Sep-16	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RR3_BSL_B3_LVR	Basal 3 liver 	5417	551	previously dissected carcass	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_BSL_B4	Mmus_BAL-TAL_LVR_BSL_Rep4_B4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Basal Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	Standard Vivarium Cage	GLDS	https://genelab-data.ndc.nasa.gov/	Non-treated	GLDS	https://genelab-data.ndc.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	ketamine/xylazine/acepromazine			19.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	8-Apr-16	9-Apr-16	13-Sep-16	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RR3_BSL_B4_LVR	Basal 4 liver 	5417	551	previously dissected carcass	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_BSL_B6	Mmus_BAL-TAL_LVR_BSL_Rep5_B6	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Basal Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	Standard Vivarium Cage	GLDS	https://genelab-data.ndc.nasa.gov/	Non-treated	GLDS	https://genelab-data.ndc.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	ketamine/xylazine/acepromazine			19.4	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	8-Apr-16	9-Apr-16	14-Sep-16	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RR3_BSL_B6_LVR	Basal 6 liver 	5417	551	previously dissected carcass	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_BSL_B7	Mmus_BAL-TAL_LVR_BSL_Rep6_B7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Basal Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	Standard Vivarium Cage	GLDS	https://genelab-data.ndc.nasa.gov/	Non-treated	GLDS	https://genelab-data.ndc.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	ketamine/xylazine/acepromazine			20.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	8-Apr-16	9-Apr-16	14-Sep-16	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RR3_BSL_B7_LVR	Basal 7 liver 	5417	551	previously dissected carcass	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_GC_G1	Mmus_BAL-TAL_LVR_GC_Rep1_G1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	Rodent Habitat	GLDS	https://genelab-data.ndc.nasa.gov/	Sham treated (control Ig-G injection)	GLDS	https://genelab-data.ndc.nasa.gov/	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	ketamine/xylazine/acepromazine			20.3	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	11-Apr-16	20-May-16	13-Sep-16	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RR3_GC_G1_LVR	Ground control 1 liver 	5416	550	previously dissected carcass	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_GC_G2	Mmus_BAL-TAL_LVR_GC_Rep2_G2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	Rodent Habitat	GLDS	https://genelab-data.ndc.nasa.gov/	Sham treated (control Ig-G injection)	GLDS	https://genelab-data.ndc.nasa.gov/	39	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	ketamine/xylazine/acepromazine			20	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	11-Apr-16	20-May-16	13-Sep-16	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RR3_GC_G2_LVR	Ground control 2 liver 	5416	550	previously dissected carcass	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_GC_G3	Mmus_BAL-TAL_LVR_GC_Rep3_G3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	Rodent Habitat	GLDS	https://genelab-data.ndc.nasa.gov/	Sham treated (control Ig-G injection)	GLDS	https://genelab-data.ndc.nasa.gov/	40	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	ketamine/xylazine/acepromazine			22.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	11-Apr-16	20-May-16	14-Sep-16	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RR3_GC_G3_LVR	Ground control 3 liver 	5416	550	previously dissected carcass	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_GC_G5	Mmus_BAL-TAL_LVR_GC_Rep4_G5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Animal Husbandry	Rodent Habitat	GLDS	https://genelab-data.ndc.nasa.gov/	Sham treated (control Ig-G injection)	GLDS	https://genelab-data.ndc.nasa.gov/	40	day	UO	http://purl.obolibrary.org/obo/UO_0000033	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	ketamine/xylazine/acepromazine			20.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	11-Apr-16	21-May-16	14-Sep-16	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	RR3_GC_G5_LVR	Ground control 5 liver 	5416	550	previously dissected carcass	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
