Sample Name	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Parameter Value[pool strategy]	Protocol REF	Parameter Value[Instrument]	Parameter Value[Chromatography]	Parameter Value[Dissociation]	MS Assay Name	Raw Spectral Data File	Parameter Value[Derived Spectral Data File]
Mmus_C57-6T_LVR_BSL_Rep1_B1	Extraction	BC 1-liver-protein	TMT isobaric labeling	BC 1-liver-protein_126	126			Not Applicable	Mass Spectrometry	Orbitrap Fusion	MS:ACQUITY UPLC	HCD	BC 1-liver-protein expression profiling	GLDS-47_proteomics_RR1-CASIS.raw.tar.gz	GLDS-47_proteomics_RR1-CASIS.processed.tar.gz
Mmus_C57-6T_LVR_BSL_Rep2_B2	Extraction	BC 2-liver-protein	TMT isobaric labeling	BC 2-liver-protein_127N	127N			Not Applicable	Mass Spectrometry	Orbitrap Fusion	MS:ACQUITY UPLC	HCD	BC 2-liver-protein expression profiling	GLDS-47_proteomics_RR1-CASIS.raw.tar.gz	GLDS-47_proteomics_RR1-CASIS.processed.tar.gz
Mmus_C57-6T_LVR_BSL_Rep3_B3	Extraction	BC 3-liver-protein	TMT isobaric labeling	BC 3-liver-protein_127C	127C			Not Applicable	Mass Spectrometry	Orbitrap Fusion	MS:ACQUITY UPLC	HCD	BC 3-liver-protein expression profiling	GLDS-47_proteomics_RR1-CASIS.raw.tar.gz	GLDS-47_proteomics_RR1-CASIS.processed.tar.gz
Mmus_C57-6T_LVR_GC_Rep1_G2	Extraction	GC 2-liver-protein	TMT isobaric labeling	GC 2-liver-protein_129C	129C			Not Applicable	Mass Spectrometry	Orbitrap Fusion	MS:ACQUITY UPLC	HCD	GC 2-liver-protein expression profiling	GLDS-47_proteomics_RR1-CASIS.raw.tar.gz	GLDS-47_proteomics_RR1-CASIS.processed.tar.gz
Mmus_C57-6T_LVR_GC_Rep2_G3	Extraction	GC 3-liver-protein	TMT isobaric labeling	GC 3-liver-protein_130N	130N			Not Applicable	Mass Spectrometry	Orbitrap Fusion	MS:ACQUITY UPLC	HCD	GC 3-liver-protein expression profiling	GLDS-47_proteomics_RR1-CASIS.raw.tar.gz	GLDS-47_proteomics_RR1-CASIS.processed.tar.gz
Mmus_C57-6T_LVR_GC_Rep3_G5	Extraction	GC 5-liver-protein	TMT isobaric labeling	GC 5-liver-protein_130C	130C			Not Applicable	Mass Spectrometry	Orbitrap Fusion	MS:ACQUITY UPLC	HCD	GC 5-liver-protein expression profiling	GLDS-47_proteomics_RR1-CASIS.raw.tar.gz	GLDS-47_proteomics_RR1-CASIS.processed.tar.gz
Mmus_C57-6T_LVR_FLT_Rep1_F1	Extraction	FLT 1-liver-protein	TMT isobaric labeling	FLT 1-liver-protein_128N	128N			Not Applicable	Mass Spectrometry	Orbitrap Fusion	MS:ACQUITY UPLC	HCD	FLT 1-liver-protein expression profiling	GLDS-47_proteomics_RR1-CASIS.raw.tar.gz	GLDS-47_proteomics_RR1-CASIS.processed.tar.gz
Mmus_C57-6T_LVR_FLT_Rep2_F2	Extraction	FLT 2-liver-protein	TMT isobaric labeling	FLT 2-liver-protein_128C	128C			Not Applicable	Mass Spectrometry	Orbitrap Fusion	MS:ACQUITY UPLC	HCD	FLT 2-liver-protein expression profiling	GLDS-47_proteomics_RR1-CASIS.raw.tar.gz	GLDS-47_proteomics_RR1-CASIS.processed.tar.gz
Mmus_C57-6T_LVR_FLT_Rep3_F4	Extraction	FLT 4-liver-protein	TMT isobaric labeling	FLT 4-liver-protein_129N	129N			Not Applicable	Mass Spectrometry	Orbitrap Fusion	MS:ACQUITY UPLC	HCD	FLT 4-liver-protein expression profiling	GLDS-47_proteomics_RR1-CASIS.raw.tar.gz	GLDS-47_proteomics_RR1-CASIS.processed.tar.gz
Pool of CASIS BC_GC_FLT	Extraction	Pool	TMT isobaric labeling	Pool_131	131			equivalent aliquots of each sample as a function of mass	Mass Spectrometry	Orbitrap Fusion	MS:ACQUITY UPLC	HCD	Pool	GLDS-47_proteomics_RR1-CASIS.raw.tar.gz	GLDS-47_proteomics_RR1-CASIS.processed.tar.gz
