Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[Sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[habitat]	Parameter Value[light cycle]	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Diet]	Term Source REF	Term Accession Number	Parameter Value[Feeding Schedule]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Comment[Original Submitted Sample Name]	Comment[Completion Date]	Comment[Initiation Date]	Protocol REF	Parameter Value[ionizing radiation]	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[vehicle]	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number
RR-1_BSL_M1	Mmus_C57-6T_LVR_BSL_Rep1_B1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Taconic Biosciences	Basal Control			Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	8	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Mini Cold Bag	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	BC 1-liver	16-Oct-2014	20-Sep-2014	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR-1_BSL_M2	Mmus_C57-6T_LVR_BSL_Rep2_B2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Taconic Biosciences	Basal Control			Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	8	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Mini Cold Bag	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	BC 2-liver	16-Oct-2014	20-Sep-2014	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR-1_BSL_M3	Mmus_C57-6T_LVR_BSL_Rep3_B3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Taconic Biosciences	Basal Control			Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	8	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Mini Cold Bag	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	BC 3-liver	16-Oct-2014	20-Sep-2014	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR-1_BSL_M4	Mmus_C57-6T_LVR_BSL_Rep4_B4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Taconic Biosciences	Basal Control			Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	8	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Mini Cold Bag	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	BC 4-liver	16-Oct-2014	20-Sep-2014	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR-1_BSL_M5	Mmus_C57-6T_LVR_BSL_Rep5_B5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Taconic Biosciences	Basal Control			Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	8	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Animal Husbandry	Vivarium Cage	12 h light/dark cycle	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Mini Cold Bag	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	BC 5-liver	16-Oct-2014	20-Sep-2014	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR-1_GC_M1	Mmus_C57-6T_LVR_GC_Rep4_G1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Taconic Biosciences	Ground Control			Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	8	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Mini Cold Bag	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	GC 1-liver	16-Oct-2014	20-Sep-2014	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR-1_GC_M2	Mmus_C57-6T_LVR_GC_Rep1_G2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Taconic Biosciences	Ground Control			Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	8	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Mini Cold Bag	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	GC 2-liver	16-Oct-2014	20-Sep-2014	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR-1_GC_M3	Mmus_C57-6T_LVR_GC_Rep2_G3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Taconic Biosciences	Ground Control			Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	8	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Mini Cold Bag	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	GC 3-liver	16-Oct-2014	20-Sep-2014	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR-1_GC_M4	Mmus_C57-6T_LVR_GC_Rep5_G4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Taconic Biosciences	Ground Control			Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	8	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	22	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Mini Cold Bag	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	GC 4-liver	16-Oct-2014	20-Sep-2014	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR-1_GC_M5	Mmus_C57-6T_LVR_GC_Rep3_G5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6NTac	EFO	http://www.ebi.ac.uk/efo/EFO_0020093	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Taconic Biosciences	Ground Control			Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	8	month	UO	http://purl.obolibrary.org/obo/UO_0000035	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	22	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum			sample collection	Mini Cold Bag	OSD	https://osdr.nasa.gov/	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	GC 5-liver	16-Oct-2014	20-Sep-2014	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
