Sample Name	Protocol REF	Parameter Value[Preservation]	Parameter Value[Fixation Chemical]	Parameter Value[Section Thickness]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Parameter Value[Image File]	Parameter Value[Submitted Results File]	Protocol REF	Parameter Value[Transformed Reusable Files]
Mmus_C57-6J_LVR_BSL_C_Rep1_M4	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M4-M5-M7_ORO.ome.tiff, LSDS-2_Histology_M4-M5-M7_ORO.jpg, LSDS-2_Histology_M4-M5-M7_HE.ome.tiff, LSDS-2_Histology_M4-M5-M7_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_BSL_C_Rep2_M5	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M4-M5-M7_ORO.ome.tiff, LSDS-2_Histology_M4-M5-M7_ORO.jpg, LSDS-2_Histology_M4-M5-M7_HE.ome.tiff, LSDS-2_Histology_M4-M5-M7_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_BSL_C_Rep3_M7	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M4-M5-M7_ORO.ome.tiff, LSDS-2_Histology_M4-M5-M7_ORO.jpg, LSDS-2_Histology_M4-M5-M7_HE.ome.tiff, LSDS-2_Histology_M4-M5-M7_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_BSL_C_Rep4_M8	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M8-M10_ORO.ome.tiff, LSDS-2_Histology_M8-M10_ORO.jpg, LSDS-2_Histology_M8-M10_HE.ome.tiff, LSDS-2_Histology_M8-M10_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_BSL_C_Rep5_M10	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M8-M10_ORO.ome.tiff, LSDS-2_Histology_M8-M10_ORO.jpg, LSDS-2_Histology_M8-M10_HE.ome.tiff, LSDS-2_Histology_M8-M10_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_VIV_C_Rep1_M16	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M16-M17-M18_ORO.ome.tiff, LSDS-2_Histology_M16-M17-M18_ORO.jpg, LSDS-2_Histology_M16-M17-M18_HE.ome.tiff, LSDS-2_Histology_M16-M17-M18_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_VIV_C_Rep2_M17	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M16-M17-M18_ORO.ome.tiff, LSDS-2_Histology_M16-M17-M18_ORO.jpg, LSDS-2_Histology_M16-M17-M18_HE.ome.tiff, LSDS-2_Histology_M16-M17-M18_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_VIV_C_Rep3_M18	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M16-M17-M18_ORO.ome.tiff, LSDS-2_Histology_M16-M17-M18_ORO.jpg, LSDS-2_Histology_M16-M17-M18_HE.ome.tiff, LSDS-2_Histology_M16-M17-M18_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_VIV_C_Rep4_M19	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M19-M20_ORO.ome.tiff, LSDS-2_Histology_M19-M20_ORO.jpg, LSDS-2_Histology_M19-M20_HE.ome.tiff, LSDS-2_Histology_M19-M20_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
Mmus_C57-6J_LVR_VIV_C_Rep5_M20	Labeling Protocol	liquid nitrogen	paraffin (HE), OCT (ORO)	4 (HE), 5 (ORO)	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	LSDS-2_Histology_ORO.tar.gz, LSDS-2_Histology_HE.tar.gz	LSDS-2_Histology_M19-M20_ORO.ome.tiff, LSDS-2_Histology_M19-M20_ORO.jpg, LSDS-2_Histology_M19-M20_HE.ome.tiff, LSDS-2_Histology_M19-M20_HE.jpg	LSDS-2_Histology_OSD_48_Histology_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-2_Histology_OSD_48_Histology_TRANSFORMED.csv
