Sample Name	Protocol REF	Extract Name	Parameter Value[MS Run Group]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Pool strategy]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion Source]	Term Source REF	Term Accession Number	Parameter Value[Analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Comment[Raw Data File name]	Protocol REF	Data Transformation Name	Derived Spectral Data File	Peptide Assignment File	Protein Assignment File	Comment[Peptide Group File]	Comment[Protein Group File]	Comment[Byonic output file .mgf]	Comment[Byonic output file .mzid]
RR1_GC_NASA+CASIS_LVR_POOL	Extraction	RR1_GC_NASA+CASIS_LVR_POOL	Group B			Labeling	equivalent aliquots of each sample as a function of mass			RR1_GC_NASA+CASIS_LVR_POOL_130C	130C			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupB_NASA_GC_10_16_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
RR1_GC_NASA_LVR_POOL	Extraction	RR1_GC_NASA_LVR_POOL	Group B			Labeling	equivalent aliquots of each sample as a function of mass			RR1_GC_NASA_LVR_POOL_130N	130N			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupB_NASA_GC_10_16_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
RR1_BA_CASIS_LVR_POOL	Extraction	RR1_BA_CASIS_LVR_POOL	Group B			Labeling	equivalent aliquots of each sample as a function of mass			RR1_BA_CASIS_LVR_POOL_131	131			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupB_NASA_GC_10_16_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
RR1_FLT_NASA+CASIS_LVR_POOL	Extraction	RR1_FLT_NASA+CASIS_LVR_POOL	Group C			Labeling	equivalent aliquots of each sample as a function of mass			RR1_FLT_NASA+CASIS_LVR_POOL_130C	130C			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupC_NASA_Flt_17_23_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
RR1_FLT_NASA_LVR_POOL	Extraction	RR1_FLT_NASA_LVR_POOL	Group C			Labeling	equivalent aliquots of each sample as a function of mass			RR1_FLT_NASA_LVR_POOL_130N	130N			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupC_NASA_Flt_17_23_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
RR1_BA_CASIS_LVR_POOL	Extraction	RR1_BA_CASIS_LVR_POOL	Group C			Labeling	equivalent aliquots of each sample as a function of mass			RR1_BA_CASIS_LVR_POOL_131	131			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 10-plex	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	150929_KChatacharty_NASA_GeneLab_GroupC_NASA_Flt_17_23_Fr*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1-NASA.processed.tar.gz	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
RR1_BSL_VIV_NASA_LVR_POOL	Extraction	RR1_BSL_VIV_NASA_LVR_POOL	Not Applicable			Labeling	equivalent aliquots of each sample as a function of mass			RR1_BSL_VIV_NASA_LVR_POOL_131C	131C			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 11-plex	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_raw.tar.gz	170811_NASA_7313_TMT_11plex_Frac*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_processed.tar.gz	170811_NASA_7313_TMT_11plex_BB_Anova_PSMs.txt	170811_NASA_7313_TMT_11plex_BB_Anova_Proteins.txt	170811_NASA_7313_TMT_11plex_BB_Anova_PeptideGroups.txt	170811_NASA_7313_TMT_11plex_BB_Anova_ProteinGroups.txt	170811_NASA_....byspec2_20170815_Byonic.mgf	170811_NASA_....byspec2_20170815_Byonic.mzid
Mmus_C57-6J_LVR_VIV_C_Rep1_M16	Extraction	RR1_VIV_M16_LVR_PRT	Not Applicable			Labeling	Not Applicable			RR1_VIV_M16_LVR_129N	129N			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 11-plex	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_raw.tar.gz	170811_NASA_7313_TMT_11plex_Frac*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_processed.tar.gz	170811_NASA_7313_TMT_11plex_BB_Anova_PSMs.txt	170811_NASA_7313_TMT_11plex_BB_Anova_Proteins.txt	170811_NASA_7313_TMT_11plex_BB_Anova_PeptideGroups.txt	170811_NASA_7313_TMT_11plex_BB_Anova_ProteinGroups.txt	170811_NASA_....byspec2_20170815_Byonic.mgf	170811_NASA_....byspec2_20170815_Byonic.mzid
Mmus_C57-6J_LVR_VIV_C_Rep2_M17	Extraction	RR1_VIV_M17_LVR_PRT	Not Applicable			Labeling	Not Applicable			RR1_VIV_M17_LVR_129C	129C			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 11-plex	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_raw.tar.gz	170811_NASA_7313_TMT_11plex_Frac*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_processed.tar.gz	170811_NASA_7313_TMT_11plex_BB_Anova_PSMs.txt	170811_NASA_7313_TMT_11plex_BB_Anova_Proteins.txt	170811_NASA_7313_TMT_11plex_BB_Anova_PeptideGroups.txt	170811_NASA_7313_TMT_11plex_BB_Anova_ProteinGroups.txt	170811_NASA_....byspec2_20170815_Byonic.mgf	170811_NASA_....byspec2_20170815_Byonic.mzid
Mmus_C57-6J_LVR_VIV_C_Rep3_M18	Extraction	RR1_VIV_M18_LVR_PRT	Not Applicable			Labeling	Not Applicable			RR1_VIV_M18_LVR_130N	130N			Mass Spectrometry	Orbitrap Fusion	MS	http://purl.obolibrary.org/obo/MS_1002416	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	Ion Trap & Orbitrap			TMT 11-plex	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_raw.tar.gz	170811_NASA_7313_TMT_11plex_Frac*.raw	Data Transformation	Proteome Discoverer/ Byonic	GLDS-48_proteomics_RR1_Liver_Basal_Vivarium_processed.tar.gz	170811_NASA_7313_TMT_11plex_BB_Anova_PSMs.txt	170811_NASA_7313_TMT_11plex_BB_Anova_Proteins.txt	170811_NASA_7313_TMT_11plex_BB_Anova_PeptideGroups.txt	170811_NASA_7313_TMT_11plex_BB_Anova_ProteinGroups.txt	170811_NASA_....byspec2_20170815_Byonic.mgf	170811_NASA_....byspec2_20170815_Byonic.mzid
