Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Dissection Condition]	Characteristics[Animal Source]	Characteristics[Sex]	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[light cycle]	Parameter Value[habitat]	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Diet]	Term Source REF	Term Accession Number	Parameter Value[Feeding Schedule]	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Preservation Method]	Comment[LSDA Biospecimen ID]	Comment[LSDA Biospecimen Subject ID]	Comment[Original Submitted Sample Name]	Comment[Sample Name Description]	Protocol REF	Parameter Value[ionizing radiation]	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number	Parameter Value[vehicle]	Term Source REF	Term Accession Number
RR1_BSL_M4	Mmus_C57-6J_LVR_BSL_C_Rep1_M4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Basal Control			Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Vivarium Cage	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Liquid Nitrogen			-80	degree Celsius	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	Not Available	Not Available	RR1_BSL_M4_LVR	Basal_Mouse4_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_BSL_M5	Mmus_C57-6J_LVR_BSL_C_Rep2_M5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Basal Control			Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Vivarium Cage	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Liquid Nitrogen			-80	degree Celsius	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	Not Available	Not Available	RR1_BSL_M5_LVR	Basal_Mouse5_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_BSL_M7	Mmus_C57-6J_LVR_BSL_C_Rep3_M7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Basal Control			Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Vivarium Cage	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Liquid Nitrogen			-80	degree Celsius	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	Not Available	Not Available	RR1_BSL_M7_LVR	Basal_Mouse7_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_BSL_M8	Mmus_C57-6J_LVR_BSL_C_Rep4_M8	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Basal Control			Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Vivarium Cage	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Liquid Nitrogen			-80	degree Celsius	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	Not Available	Not Available	RR1_BSL_M8_LVR	Basal_Mouse8_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_BSL_M10	Mmus_C57-6J_LVR_BSL_C_Rep5_M10	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Basal Control			Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Vivarium Cage	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Liquid Nitrogen			-80	degree Celsius	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	Not Available	Not Available	RR1_BSL_M10_LVR	Basal_Mouse10_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_VIV_M16	Mmus_C57-6J_LVR_VIV_C_Rep1_M16	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Vivarium Control			Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Vivarium Cage	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Liquid Nitrogen			-80	degree Celsius	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	Not Available	Not Available	RR1_VIV_M16_LVR	Vivarium_Mouse16_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_VIV_M17	Mmus_C57-6J_LVR_VIV_C_Rep2_M17	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Vivarium Control			Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Vivarium Cage	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Liquid Nitrogen			-80	degree Celsius	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	Not Available	Not Available	RR1_VIV_M17_LVR	Vivarium_Mouse17_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_VIV_M18	Mmus_C57-6J_LVR_VIV_C_Rep3_M18	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Vivarium Control			Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Vivarium Cage	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Liquid Nitrogen			-80	degree Celsius	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	Not Available	Not Available	RR1_VIV_M18_LVR	Vivarium_Mouse18_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_VIV_M19	Mmus_C57-6J_LVR_VIV_C_Rep4_M19	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Vivarium Control			Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Vivarium Cage	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Liquid Nitrogen			-80	degree Celsius	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	Not Available	Not Available	RR1_VIV_M19_LVR	Vivarium_Mouse19_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR1_VIV_M20	Mmus_C57-6J_LVR_VIV_C_Rep5_M20	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Liver	MESH	http://purl.bioontology.org/ontology/MESH/D008099	Vivarium Control			Carcass	Jackson Laboratory	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Animal Husbandry	12 h light/dark cycle	Vivarium Cage	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	sample collection	Liquid Nitrogen			-80	degree Celsius	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	Euthasol	UO	http://purl.obolibrary.org/obo/UO_0000027	Mini Cold Bag to -80C freezer	Not Available	Not Available	RR1_VIV_M20_LVR	Vivarium_Mouse20_Liver	radiation dosimetry	non-irradiated	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450		Not Applicable	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
