Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Library,Experiment
GO_Biological_Process_2023,Cellular Response To Peptide Hormone Stimulus (GO:0071375),2/89,0.0035313354289598,0.0959865162546924,0,0,25.406130268199234,143.44502292528725,CYP11A1;ADIPOQ,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Calcium Ion Homeostasis (GO:0055074),2/102,0.0046090529183839,0.0959865162546924,0,0,22.08888888888889,118.83232192165296,CCL7;CIB3,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Glucocorticoid Biosynthetic Process (GO:0006704),1/5,0.0049904406959516,0.0959865162546924,0,0,262.8421052631579,1393.123889480945,CYP11A1,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Centromeric Sister Chromatid Cohesion (GO:0070601),1/5,0.0049904406959516,0.0959865162546924,0,0,262.8421052631579,1393.123889480945,BUB1,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Response To Tumor Necrosis Factor (GO:0034612),2/108,0.0051515748448776,0.0959865162546924,0,0,20.832285115303986,109.75391117798864,CCL7;ADIPOQ,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Inositol Metabolic Process (GO:0006020),1/6,0.0059856908667451,0.0959865162546924,0,0,210.26315789473685,1076.2074808846232,MIOX,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Regulation Of Sister Chromatid Cohesion (GO:0007063),1/8,0.0079733565142536,0.0959865162546924,0,0,150.17293233082708,725.5830081396662,BUB1,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Epithelial Cell Differentiation (GO:0030855),2/132,0.0075988978232358,0.0959865162546924,0,0,16.965811965811966,82.78895598246491,CDHR2;GSTA1,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Glucocorticoid Metabolic Process (GO:0008211),1/7,0.0069799958941807,0.0959865162546924,0,0,175.21052631578948,869.8689177892479,CYP11A1,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Regulation Of Microvillus Organization (GO:0032530),1/7,0.0069799958941807,0.0959865162546924,0,0,175.21052631578948,869.8689177892479,CDHR2,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Regulation Of Natural Killer Cell Chemotaxis (GO:2000501),1/6,0.0059856908667451,0.0959865162546924,0,0,210.26315789473685,1076.2074808846232,CCL7,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Negative Regulation Of Low-Density Lipoprotein Receptor Activity (GO:1905598),1/6,0.0059856908667451,0.0959865162546924,0,0,210.26315789473685,1076.2074808846232,ADIPOQ,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Negative Regulation Of Receptor Binding (GO:1900121),1/9,0.0089657734963174,0.0959865162546924,0,0,131.39473684210526,619.439581424405,ADIPOQ,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Regulation Of Receptor Binding (GO:1900120),1/9,0.0089657734963174,0.0959865162546924,0,0,131.39473684210526,619.439581424405,ADIPOQ,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Positive Regulation Of Protein Kinase A Signaling (GO:0010739),1/9,0.0089657734963174,0.0959865162546924,0,0,131.39473684210526,619.439581424405,ADIPOQ,GO_Biological_Process_2023,RR1_all_noninv
