Gene,Weight
ENSMUSG00000117874,8189628.566035443
ENSMUSG00000075318,6972404.333624363
ENSMUSG00000035373,6515086.497393196
ENSMUSG00000111709,6409586.651643816
ENSMUSG00000022613,6290907.377363298
ENSMUSG00000054083,6254046.188325473
ENSMUSG00000094686,6220546.868961319
ENSMUSG00000035352,6188231.491079575
ENSMUSG00000078901,5825044.5332231065
ENSMUSG00000109564,5778123.461386209
ENSMUSG00000034918,5773875.7924854215
ENSMUSG00000032323,5751038.330419123
ENSMUSG00000074240,5748388.40733081
ENSMUSG00000041794,5680775.270102959
ENSMUSG00000029384,5645921.330322251
ENSMUSG00000074183,5547211.453561269
ENSMUSG00000031026,5526915.089957402
ENSMUSG00000028587,5499158.142645796
ENSMUSG00000027379,5490302.952016921
ENSMUSG00000022878,5385920.6605212195
