Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Library,Experiment
GO_Biological_Process_2023,Regulation Of Microvillus Organization (GO:0032530),1/7,0.0069799958941807,0.0804247082397198,0,0,175.21052631578948,869.8689177892479,CDHR2,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Intestinal Epithelial Cell Differentiation (GO:0060575),1/8,0.0079733565142536,0.0804247082397198,0,0,150.17293233082708,725.5830081396662,GATA5,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,cAMP Biosynthetic Process (GO:0006171),1/9,0.0089657734963174,0.0804247082397198,0,0,131.39473684210526,619.439581424405,ADCY10,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Columnar/Cuboidal Epithelial Cell Differentiation (GO:0002065),1/10,0.0099572476243861,0.0804247082397198,0,0,116.78947368421052,538.3357753631753,GATA5,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,cAMP Metabolic Process (GO:0046058),1/12,0.0119373705403343,0.0804247082397198,0,0,95.54545454545456,423.0830518492731,ADCY10,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Striated Muscle Tissue Development (GO:0014706),1/14,0.01391373176082,0.0804247082397198,0,0,80.83805668016194,345.57291333057793,GATA5,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Cellular Response To Unfolded Protein (GO:0034620),1/17,0.0168712348172723,0.0804247082397198,0,0,65.67105263157895,268.0787715603985,PACRG,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Cyclic Nucleotide Biosynthetic Process (GO:0009190),1/19,0.0188382206720142,0.0804247082397198,0,0,58.36842105263158,231.8316321803268,ADCY10,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Bicarbonate Transport (GO:0015701),1/19,0.0188382206720142,0.0804247082397198,0,0,58.36842105263158,231.8316321803268,SLC4A9,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,piRNA Processing (GO:0034587),1/19,0.0188382206720142,0.0804247082397198,0,0,58.36842105263158,231.8316321803268,PNLDC1,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0000289),1/20,0.019820311238232,0.0804247082397198,0,0,55.29362880886426,216.80897525048425,PNLDC1,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Endocardial Cushion Morphogenesis (GO:0003203),1/21,0.0208014680109953,0.0804247082397198,0,0,52.526315789473685,203.4203291515269,GATA5,GO_Biological_Process_2023,RR1_all_noninv
GO_Biological_Process_2023,Cellular Response To Topologically Incorrect Protein (GO:0035967),1/22,0.0217816918149241,0.0804247082397198,0,0,50.02255639097744,191.42059056605152,PACRG,GO_Biological_Process_2023,RR1_all_noninv
