Gene,Weight
ENSMUSG00000075552,23064855.47650181
ENSMUSG00000043155,15859594.105586829
ENSMUSG00000026546,13871896.049932681
ENSMUSG00000115232,13768156.873530412
ENSMUSG00000015627,12612567.387727013
ENSMUSG00000106715,12498025.121352741
ENSMUSG00000073460,12244395.235415824
ENSMUSG00000038782,12213747.463064838
ENSMUSG00000027939,11965895.836420424
ENSMUSG00000094686,11602838.418882022
ENSMUSG00000092212,11523625.208609385
ENSMUSG00000060560,11419054.711383175
ENSMUSG00000037196,11229935.340984665
ENSMUSG00000026567,11100895.444339346
ENSMUSG00000024485,10999337.995910693
ENSMUSG00000109398,10915253.054205544
ENSMUSG00000082932,10906380.28460869
ENSMUSG00000094091,10905111.518102132
ENSMUSG00000095648,10898734.001441523
ENSMUSG00000034918,10785040.532495638
