Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Brush Border Membrane (GO:0031526),2/40,0.0016374867723787,0.0736869047570436,0,0,37.46616541353384,240.3301899756201,CDHR2;LRP2
GO_Cellular_Component_2023,Cell Projection Membrane (GO:0031253),2/105,0.0107911299821826,0.1406540521323746,0,0,13.77739251040222,62.398234751169255,CDHR2;LRP2
GO_Cellular_Component_2023,Mitochondrial Inner Membrane (GO:0005743),3/370,0.0176196733437336,0.1406540521323746,0,0,5.9349076597033,23.96954419934517,CYP11A1;HSD3B1;EFHD1
GO_Cellular_Component_2023,Microvillus Membrane (GO:0031528),1/13,0.0193310605643026,0.1406540521323746,0,0,57.35057471264368,226.30778348154325,CDHR2
GO_Cellular_Component_2023,Organelle Inner Membrane (GO:0019866),3/398,0.0213365155489495,0.1406540521323746,0,0,5.506329113924051,21.1846945334193,CYP11A1;HSD3B1;EFHD1
GO_Cellular_Component_2023,Dense Core Granule (GO:0031045),1/16,0.0237405188646141,0.1406540521323746,0,0,45.87356321839081,171.5933676703201,MYRIP
GO_Cellular_Component_2023,Sodium Channel Complex (GO:0034706),1/18,0.0266695046006179,0.1406540521323746,0,0,40.47261663286004,146.68225415832842,SCN2A
GO_Cellular_Component_2023,AMPA Glutamate Receptor Complex (GO:0032281),1/19,0.0281308104264749,0.1406540521323746,0,0,38.22222222222222,136.48734525751556,OLFM2
GO_Cellular_Component_2023,Smooth Endoplasmic Reticulum (GO:0005790),1/19,0.0281308104264749,0.1406540521323746,0,0,38.22222222222222,136.48734525751556,HSD3B1
GO_Cellular_Component_2023,Axon (GO:0030424),2/205,0.0376862668487809,0.1695882008195142,0,0,6.955313159746657,22.8027126811316,LRP2;SCN2A
GO_Cellular_Component_2023,Mitochondrial Membrane (GO:0031966),3/540,0.046347082378731,0.1731457215015928,0,0,4.020897992965032,12.35057795737847,CYP11A1;HSD3B1;EFHD1
GO_Cellular_Component_2023,Ionotropic Glutamate Receptor Complex (GO:0008328),1/33,0.0483677563907074,0.1731457215015928,0,0,21.48491379310345,65.07612542493897,OLFM2
GO_Cellular_Component_2023,Neuron Projection (GO:0043005),3/557,0.0500198751004601,0.1731457215015928,0,0,3.89410348977136,11.66414389447401,STMN2;LRP2;SCN2A
GO_Cellular_Component_2023,Cortical Actin Cytoskeleton (GO:0030864),1/44,0.0639818620949856,0.1901624016042609,0,0,15.979951884522857,43.93137485913406,MYRIP
GO_Cellular_Component_2023,Basement Membrane (GO:0005604),1/46,0.0667940570746933,0.1901624016042609,0,0,15.268199233716476,41.317902512852925,USH2A
GO_Cellular_Component_2023,Voltage-Gated Calcium Channel Complex (GO:0005891),1/49,0.070997041562065,0.1901624016042609,0,0,14.311781609195402,37.85633785017516,SCN2A
GO_Cellular_Component_2023,Cation Channel Complex (GO:0034703),1/53,0.0765725660346981,0.1901624016042609,0,0,13.208222811671089,33.938745289872976,SCN2A
GO_Cellular_Component_2023,Microvillus (GO:0005902),1/58,0.0834964966939316,0.1901624016042609,0,0,12.04658197217181,29.91106798113016,CDHR2
GO_Cellular_Component_2023,Calcium Channel Complex (GO:0034704),1/59,0.0848752478256348,0.1901624016042609,0,0,11.838287752675386,29.199998252267804,SCN2A
GO_Cellular_Component_2023,Mitochondrial Intermembrane Space (GO:0005758),1/62,0.0889994819880445,0.1901624016042609,0,0,11.254381006218203,27.22575140877544,HSD3B1
GO_Cellular_Component_2023,Cortical Cytoskeleton (GO:0030863),1/63,0.090370229679819,0.1901624016042609,0,0,11.07230255839822,26.61604802845276,MYRIP
GO_Cellular_Component_2023,Organelle Envelope Lumen (GO:0031970),1/68,0.0971941163755111,0.1901624016042609,0,0,10.243437982501286,23.87791592101611,HSD3B1
GO_Cellular_Component_2023,Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669),1/68,0.0971941163755111,0.1901624016042609,0,0,10.243437982501286,23.87791592101611,LRP2
GO_Cellular_Component_2023,Collagen-Containing Extracellular Matrix (GO:0062023),2/373,0.1072948462593805,0.2011778367363385,0,0,3.773392375818252,8.422870849698644,ADIPOQ;USH2A
GO_Cellular_Component_2023,Clathrin-Coated Endocytic Vesicle (GO:0045334),1/85,0.1200271612483068,0.2160488902469523,0,0,8.163382594417078,17.306674925558667,LRP2
GO_Cellular_Component_2023,Clathrin-Coated Vesicle Membrane (GO:0030665),1/90,0.1266358392018219,0.2191774140031533,0,0,7.702828361100349,15.917430476118057,LRP2
GO_Cellular_Component_2023,Golgi Lumen (GO:0005796),1/100,0.1397095639188418,0.2328492731980697,0,0,6.921281783350749,13.622394510819325,MUC16
GO_Cellular_Component_2023,Mitochondrial Envelope (GO:0005740),1/146,0.1974513744361394,0.3173325660580812,0,0,4.714625445897741,7.64836209132287,HSD3B1
GO_Cellular_Component_2023,Endocytic Vesicle Membrane (GO:0030666),1/159,0.2130786765097357,0.3306393256185554,0,0,4.323876036665212,6.685117967665248,LRP2
GO_Cellular_Component_2023,Lytic Vacuole (GO:0000323),1/223,0.2858223997380623,0.4287335996070934,0,0,3.067412239826033,3.841579976733741,LRP2
