Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MGI_Mammalian_Phenotype_Level_4_2024,Small Olfactory Bulb MP:0002741,2/45,0.0020687005204849,0.1109602876390973,0,0,33.10132890365448,204.59384020901297,EBF3;LRP2
MGI_Mammalian_Phenotype_Level_4_2024,"Perinatal Lethality, Incomplete Penetrance MP:0011090",3/250,0.0061066114057568,0.1109602876390973,0,0,8.872244714349977,45.23410391004406,STMN2;LRP2;BUB1
MGI_Mammalian_Phenotype_Level_4_2024,Maternal Effect MP:0003718,2/85,0.0071877384972766,0.1109602876390973,0,0,17.1144578313253,84.46633049181104,ADIPOQ;BUB1
MGI_Mammalian_Phenotype_Level_4_2024,Abnormal Urine Homeostasis MP:0009643,2/88,0.0076857751375322,0.1109602876390973,0,0,16.514950166112957,80.40111986589167,ADIPOQ;LRP2
MGI_Mammalian_Phenotype_Level_4_2024,Abnormal Adrenal Gland Zona Fasciculata Morphology MP:0008294,1/8,0.0119391531667426,0.1109602876390973,0,0,98.33990147783253,435.442406227662,CYP11A1
MGI_Mammalian_Phenotype_Level_4_2024,Abnormal Strial Marginal Cell Morphology MP:0004366,1/8,0.0119391531667426,0.1109602876390973,0,0,98.33990147783253,435.442406227662,LRP2
MGI_Mammalian_Phenotype_Level_4_2024,Decreased Food Intake MP:0011940,2/115,0.0128359223529556,0.1109602876390973,0,0,12.551833122629583,54.669604621235806,CYP11A1;ADIPOQ
MGI_Mammalian_Phenotype_Level_4_2024,Retrolental Blood MP:0014087,1/9,0.0134218294793273,0.1109602876390973,0,0,86.04310344827586,370.92087702683546,CYP11A1
MGI_Mammalian_Phenotype_Level_4_2024,Absent Nasal Septum MP:0004872,1/9,0.0134218294793273,0.1109602876390973,0,0,86.04310344827586,370.92087702683546,LRP2
MGI_Mammalian_Phenotype_Level_4_2024,Dilated Uterus MP:0001123,1/9,0.0134218294793273,0.1109602876390973,0,0,86.04310344827586,370.92087702683546,LRP2
MGI_Mammalian_Phenotype_Level_4_2024,Abnormal Adrenal Gland Physiology MP:0002909,1/9,0.0134218294793273,0.1109602876390973,0,0,86.04310344827586,370.92087702683546,CYP11A1
MGI_Mammalian_Phenotype_Level_4_2024,Fused Podocyte Foot Processes MP:0008139,1/9,0.0134218294793273,0.1109602876390973,0,0,86.04310344827586,370.92087702683546,ADIPOQ
MGI_Mammalian_Phenotype_Level_4_2024,Decreased Excitatory Postsynaptic Current Frequency MP:0014379,1/10,0.0149023554252653,0.1109602876390973,0,0,76.47892720306514,321.6884165593148,SCN2A
MGI_Mammalian_Phenotype_Level_4_2024,Dry Eyes MP:0001337,1/10,0.0149023554252653,0.1109602876390973,0,0,76.47892720306514,321.6884165593148,HSD3B1
MGI_Mammalian_Phenotype_Level_4_2024,Increased Adiponectin Level MP:0004892,1/11,0.0163807339505408,0.1109602876390973,0,0,68.82758620689656,282.994903106762,ADIPOQ
MGI_Mammalian_Phenotype_Level_4_2024,Increased Circulating Osteocalcin Level MP:0030984,1/6,0.008967337727522,0.1109602876390973,0,0,137.68965517241378,649.0919521468393,ADIPOQ
MGI_Mammalian_Phenotype_Level_4_2024,Abnormal Cerebellum Fissure Morphology MP:0009267,1/6,0.008967337727522,0.1109602876390973,0,0,137.68965517241378,649.0919521468393,LRP2
MGI_Mammalian_Phenotype_Level_4_2024,Unilateral Cryptorchism MP:0031286,1/6,0.008967337727522,0.1109602876390973,0,0,137.68965517241378,649.0919521468393,LRP2
MGI_Mammalian_Phenotype_Level_4_2024,Decreased Adrenaline Level MP:0030762,1/6,0.008967337727522,0.1109602876390973,0,0,137.68965517241378,649.0919521468393,CYP11A1
MGI_Mammalian_Phenotype_Level_4_2024,Abnormal Action Potential MP:0005402,2/99,0.0096409337003277,0.1109602876390973,0,0,14.6340206185567,67.92727962001706,STMN2;SCN2A
MGI_Mammalian_Phenotype_Level_4_2024,Decreased Insulin Secretion MP:0003059,2/102,0.0102087472469366,0.1109602876390973,0,0,14.192857142857145,65.06730050963371,ADIPOQ;MYRIP
MGI_Mammalian_Phenotype_Level_4_2024,Increased Susceptibility To Diet-Induced Hepatic Steatosis MP:0031269,1/7,0.0104543235506301,0.1109602876390973,0,0,114.73563218390804,523.2793468811269,ADIPOQ
MGI_Mammalian_Phenotype_Level_4_2024,Increased Brain Tumor Incidence MP:0009277,1/7,0.0104543235506301,0.1109602876390973,0,0,114.73563218390804,523.2793468811269,BUB1
MGI_Mammalian_Phenotype_Level_4_2024,Abnormal Ear Physiology MP:0003878,1/11,0.0163807339505408,0.1109602876390973,0,0,68.82758620689656,282.994903106762,LRP2
MGI_Mammalian_Phenotype_Level_4_2024,Secondary Sex Reversal MP:0001939,1/11,0.0163807339505408,0.1109602876390973,0,0,68.82758620689656,282.994903106762,CYP11A1
MGI_Mammalian_Phenotype_Level_4_2024,Abnormal Sensory Neuron Physiology MP:0010055,1/11,0.0163807339505408,0.1109602876390973,0,0,68.82758620689656,282.994903106762,EFHD1
MGI_Mammalian_Phenotype_Level_4_2024,Abnormal Microtubule Cytoskeleton Morphology MP:0020850,1/11,0.0163807339505408,0.1109602876390973,0,0,68.82758620689656,282.994903106762,STMN2
MGI_Mammalian_Phenotype_Level_4_2024,Abnormal Gas Homeostasis MP:0003948,1/11,0.0163807339505408,0.1109602876390973,0,0,68.82758620689656,282.994903106762,ADIPOQ
MGI_Mammalian_Phenotype_Level_4_2024,Abnormal Visual Evoked Potential MP:0010748,1/11,0.0163807339505408,0.1109602876390973,0,0,68.82758620689656,282.994903106762,OLFM2
MGI_Mammalian_Phenotype_Level_4_2024,Increased Bone Strength MP:0004149,1/12,0.0178569680089386,0.1109602876390973,0,0,62.56739811912226,251.8563944353508,ADIPOQ
