Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Rare_Diseases_AutoRIF_Gene_Lists,Nelson syndrome,4/181,0.00014793241448498773,0.0511846154118057,0,0,17.203824424163408,151.71631347493016,CYP11A1;ADIPOQ;EBF3;SCN2A
Rare_Diseases_AutoRIF_Gene_Lists,3-beta-hydroxysteroid dehydrogenase deficiency,2/19,0.0003660779772984416,0.0633314900726304,0,0,83.83613445378151,663.3671793000248,CYP11A1;HSD3B1
Rare_Diseases_AutoRIF_Gene_Lists,21-hydroxylase deficiency,3/150,0.0014470559941283,0.1668937913228007,0,0,14.983371126228269,97.96463872684824,CYP11A1;ADIPOQ;HSD3B1
Rare_Diseases_AutoRIF_Gene_Lists,Bone dysplasia corpus callosum agenesis,2/69,0.0047940362554891,0.2188755881299898,0,0,21.218550106609808,113.31517536894962,EFHD1;LRP2
Rare_Diseases_AutoRIF_Gene_Lists,Goldberg-Shprintzen megacolon syndrome,1/5,0.0074781928285412,0.2188755881299898,0,0,172.1206896551724,842.6622961465415,STMN2
Rare_Diseases_AutoRIF_Gene_Lists,Microcephalic osteodysplastic primordial dwarfism with tooth abnormalities,1/6,0.008967337727522,0.2188755881299898,0,0,137.68965517241378,649.0919521468393,BUB1
Rare_Diseases_AutoRIF_Gene_Lists,Nova syndrome,3/301,0.0101465559004227,0.2188755881299898,0,0,7.33482475764355,33.67140020605251,ORC1;CYP11A1;GSTA1
Rare_Diseases_AutoRIF_Gene_Lists,Whitaker syndrome,2/102,0.0102087472469366,0.2188755881299898,0,0,14.192857142857145,65.06730050963371,CYP11A1;ADIPOQ
Rare_Diseases_AutoRIF_Gene_Lists,Creutzfeldt-Jakob disease,2/102,0.0102087472469366,0.2188755881299898,0,0,14.192857142857145,65.06730050963371,STMN2;SCN2A
Rare_Diseases_AutoRIF_Gene_Lists,Oliver syndrome,3/303,0.010330088947389,0.2188755881299898,0,0,7.285185185185185,33.31292539215401,CYP11A1;HSD3B1;SCN2A
Rare_Diseases_AutoRIF_Gene_Lists,Retinitis pigmentosa deafness mental retardation and hypogonadism,1/7,0.0104543235506301,0.2188755881299898,0,0,114.73563218390804,523.2793468811269,USH2A
Rare_Diseases_AutoRIF_Gene_Lists,Histidinemia,1/7,0.0104543235506301,0.2188755881299898,0,0,114.73563218390804,523.2793468811269,CYP11A1
Rare_Diseases_AutoRIF_Gene_Lists,Chromosome 18 tetrasomy 18p,1/7,0.0104543235506301,0.2188755881299898,0,0,114.73563218390804,523.2793468811269,BUB1
Rare_Diseases_AutoRIF_Gene_Lists,Adrenal cancer,2/106,0.0109884720954769,0.2188755881299898,0,0,13.64423076923077,61.54787719458521,CYP11A1;HSD3B1
Rare_Diseases_AutoRIF_Gene_Lists,Dosage-sensitive sex reversal,2/108,0.0113879486023853,0.2188755881299898,0,0,13.38544474393531,59.90253727027526,CYP11A1;HSD3B1
Rare_Diseases_AutoRIF_Gene_Lists,Seckel syndrome,2/109,0.011590073195203,0.2188755881299898,0,0,13.259679572763686,59.10643128273495,ORC1;ADIPOQ
Rare_Diseases_AutoRIF_Gene_Lists,Gynandroblastoma,2/111,0.0119990706344274,0.2188755881299898,0,0,13.015072083879422,57.56470174407684,MUC16;CYP11A1
Rare_Diseases_AutoRIF_Gene_Lists,Ohtahara syndrome,2/113,0.0124143666206696,0.2188755881299898,0,0,12.77927927927928,56.08699005654072,EBF3;SCN2A
Rare_Diseases_AutoRIF_Gene_Lists,Spongiform encephalopathy,2/114,0.0126243644355743,0.2188755881299898,0,0,12.66454081632653,55.37097637285885,STMN2;SCN2A
Rare_Diseases_AutoRIF_Gene_Lists,Conn's syndrome,2/117,0.0132636991941307,0.2188755881299898,0,0,12.332298136645962,53.30912556036972,CYP11A1;HSD3B1
Rare_Diseases_AutoRIF_Gene_Lists,Chromosome 2 monosomy 2q24,1/9,0.0134218294793273,0.2188755881299898,0,0,86.04310344827586,370.92087702683546,SCN2A
Rare_Diseases_AutoRIF_Gene_Lists,Norrie disease,2/120,0.0139169449099993,0.2188755881299898,0,0,12.016949152542374,51.3682291393464,CYP11A1;USH2A
Rare_Diseases_AutoRIF_Gene_Lists,Usher syndrome,3/345,0.0146375386056622,0.2201994938069196,0,0,6.3768680961663415,26.9369488410527,ADIPOQ;MYRIP;USH2A
Rare_Diseases_AutoRIF_Gene_Lists,Variant Creutzfeldt-Jakob disease,2/133,0.0169052903850118,0.2437179363839204,0,0,10.81733914940022,44.13613554797711,STMN2;SCN2A
Rare_Diseases_AutoRIF_Gene_Lists,Sertoli-leydig cell tumors,2/137,0.0178752431510281,0.2473933652102289,0,0,10.494708994708995,42.23426237345858,CYP11A1;HSD3B1
Rare_Diseases_AutoRIF_Gene_Lists,Ichthyosis with hypotrichosis autosomal recessive,1/14,0.02080301457834,0.2491800563754238,0,0,52.93633952254642,205.00430545239047,CAPN12
Rare_Diseases_AutoRIF_Gene_Lists,Addison's disease,2/159,0.0236173566502385,0.2491800563754238,0,0,9.01410373066424,33.76478985279455,CYP11A1;ADIPOQ
Rare_Diseases_AutoRIF_Gene_Lists,Infantile convulsions and paroxysmal choreoathetosis familial,1/14,0.02080301457834,0.2491800563754238,0,0,52.93633952254642,205.00430545239047,SCN2A
Rare_Diseases_AutoRIF_Gene_Lists,Diaphragmatic hernia exomphalos corpus callosum agenesis,1/16,0.0237405188646141,0.2491800563754238,0,0,45.87356321839081,171.5933676703201,LRP2
Rare_Diseases_AutoRIF_Gene_Lists,Kuru,2/161,0.024172544060556,0.2491800563754238,0,0,8.899820305480683,33.12991779274328,STMN2;SCN2A
