Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Mouse_Gene_Atlas,adrenal gland,3/245,0.0057750382613765,0.1501509947957894,0,0,9.057851239669422,46.68607103624471,CYP11A1;HSD3B1;EFHD1
Mouse_Gene_Atlas,ovary,2/153,0.0219844015706981,0.285797220419076,0,0,9.37511825922422,35.78878360110144,CYP11A1;HSD3B1
Mouse_Gene_Atlas,dorsal root ganglia,3/541,0.0465592091740879,0.4035131461754286,0,0,4.013217678645188,12.308660866209069,SPOCK2;STMN2;EBF3
Mouse_Gene_Atlas,bone marrow,2/413,0.1269121930672435,0.66630416672218,0,0,3.3992005561348626,7.016833144525955,DEPDC1B;ORC1
Mouse_Gene_Atlas,osteoclasts,1/110,0.1525940124037937,0.66630416672218,0,0,6.283138247390067,11.812139044805,BUB1
Mouse_Gene_Atlas,kidney,2/554,0.2014428378981506,0.66630416672218,0,0,2.51268115942029,4.025942434693036,MIOX;LRP2
Mouse_Gene_Atlas,bladder,1/195,0.2548345474113886,0.66630416672218,0,0,3.515108425168859,4.805648067449765,UPK1B
Mouse_Gene_Atlas,adipose white,1/199,0.2593396469689545,0.66630416672218,0,0,3.4433995123650294,4.647269480219039,ADIPOQ
Mouse_Gene_Atlas,umbilical cord,1/208,0.2693800627271472,0.66630416672218,0,0,3.2921872397134764,4.31813821246098,MUC16
Mouse_Gene_Atlas,macrophage bone marrow 6hr LPS,2/730,0.2997695204881692,0.66630416672218,0,0,1.8879513343799057,2.2744930669400225,CCL12;CCL7
Mouse_Gene_Atlas,eyecup,2/828,0.3543610235590541,0.66630416672218,0,0,1.6554825319958493,1.7174622169585383,CAPN12;USH2A
Mouse_Gene_Atlas,cerebral cortex prefrontal,1/344,0.4059959670675822,0.66630416672218,0,0,1.9731577360008044,1.7786281652293745,OLFM2
Mouse_Gene_Atlas,cerebral cortex,1/349,0.4105155990945884,0.66630416672218,0,0,1.944312326595323,1.731101662812598,OLFM2
Mouse_Gene_Atlas,macrophage bone marrow 2hr LPS,1/365,0.424756136893029,0.66630416672218,0,0,1.857332322849564,1.5903223586633954,CCL7
Mouse_Gene_Atlas,intestine large,1/374,0.4326196952522141,0.66630416672218,0,0,1.8116853101599333,1.5180043074003795,CDHR2
Mouse_Gene_Atlas,thymocyte DP CD4+CD8+,1/410,0.4630475328955774,0.66630416672218,0,0,1.6491864092403676,1.2697507817573412,CYP11A1
Mouse_Gene_Atlas,cornea,1/427,0.4768619790027523,0.66630416672218,0,0,1.5819977335276023,1.1715139057899724,UPK1B
Mouse_Gene_Atlas,adipose brown,1/456,0.4996386820549537,0.66630416672218,0,0,1.4789693065555134,1.026212547621881,ADIPOQ
Mouse_Gene_Atlas,intestine small,1/466,0.5072681086101832,0.66630416672218,0,0,1.446421950315165,0.9817091437950786,CDHR2
Mouse_Gene_Atlas,retinal pigment epithelium,1/473,0.5125416667093692,0.66630416672218,0,0,1.4244593804792518,0.9520705746515123,MYRIP
Mouse_Gene_Atlas,mast cells,1/515,0.5430557572657055,0.6723547470908735,0,0,1.3052462095800348,0.7969093027736572,CYP11A1
Mouse_Gene_Atlas,granulocytes mac1+gr1+,1/557,0.5717194993611676,0.6756684992450163,0,0,1.2040436616224262,0.6731889910197347,USH2A
Mouse_Gene_Atlas,retina,1/664,0.6371095482241851,0.720210793644731,0,0,1.0041608155198418,0.4526894154472278,USH2A
Mouse_Gene_Atlas,embryonic stem line V26 2 p16,1/728,0.6714906678125007,0.7274482234635423,0,0,0.9127258928994924,0.3634977970966233,ORC1
Mouse_Gene_Atlas,embryonic stem line Bruce4 p13,1/876,0.7393662340878622,0.7689408834513767,0,0,0.752512315270936,0.2272300486132829,ORC1
Mouse_Gene_Atlas,testis,2/3059,0.9559904912672958,0.9559904912672958,0,0,0.3951820178513014,0.0177860805138498,2010109A12RIK;EFHD1
