Gene,Weight
ENSMUSG00000043155,6703118.560600186
ENSMUSG00000115232,5743351.624707854
ENSMUSG00000015627,5467409.897897867
ENSMUSG00000073460,5258265.047084806
ENSMUSG00000094686,5096284.586001931
ENSMUSG00000060560,5090069.976641672
ENSMUSG00000075552,4920632.885093946
ENSMUSG00000024485,4910471.613751167
ENSMUSG00000092212,4903163.625719121
ENSMUSG00000027939,4900436.414479964
ENSMUSG00000026546,4849060.479351131
ENSMUSG00000106715,4842479.468094831
ENSMUSG00000026567,4709054.5576293925
ENSMUSG00000109398,4699405.3686408335
ENSMUSG00000095648,4608375.939194889
ENSMUSG00000034918,4589630.324589685
ENSMUSG00000038782,4558515.640746118
ENSMUSG00000067768,4551833.858311835
ENSMUSG00000094091,4508565.478078764
ENSMUSG00000100200,4508424.540947289
ENSMUSG00000059406,4497081.544147091
ENSMUSG00000082932,4496733.60777026
ENSMUSG00000061815,4452741.286576608
ENSMUSG00000028909,4419635.183181355
ENSMUSG00000037994,4402894.748846038
ENSMUSG00000029752,4396896.363269679
ENSMUSG00000037196,4387341.1534217885
ENSMUSG00000047528,4361640.028753818
ENSMUSG00000027867,4314947.572840663
ENSMUSG00000038295,4268202.247507819
